ksic2,hs6,weight,ksic2_name
2,080540,0.3333333333333333,임업
2,080550,0.3333333333333333,임업
2,080590,0.3333333333333333,임업
2,080610,0.3333333333333333,임업
2,080620,0.3333333333333333,임업
2,080710,0.3333333333333333,임업
2,080711,0.3333333333333333,임업
2,080719,0.3333333333333333,임업
2,080720,0.3333333333333333,임업
2,080810,0.3333333333333333,임업
2,080820,0.3333333333333333,임업
2,080830,0.3333333333333333,임업
2,080840,0.3333333333333333,임업
2,080910,0.3333333333333333,임업
2,080920,0.3333333333333333,임업
2,080921,0.3333333333333333,임업
2,080929,0.3333333333333333,임업
2,080930,0.3333333333333333,임업
2,080940,0.3333333333333333,임업
2,081010,0.3333333333333333,임업
2,081020,0.3333333333333333,임업
2,081030,0.3333333333333333,임업
2,081040,0.3333333333333333,임업
2,081050,0.3333333333333333,임업
2,081060,0.3333333333333333,임업
2,081070,0.3333333333333333,임업
2,081090,0.3333333333333333,임업
2,090411,0.3333333333333333,임업
2,090412,0.3333333333333333,임업
2,090420,0.3333333333333333,임업
2,090421,0.3333333333333333,임업
2,090422,0.3333333333333333,임업
2,090500,0.3333333333333333,임업
2,090510,0.3333333333333333,임업
2,090520,0.3333333333333333,임업
2,090610,0.3333333333333333,임업
2,090611,0.3333333333333333,임업
2,090619,0.3333333333333333,임업
2,090620,0.3333333333333333,임업
2,090700,0.3333333333333333,임업
2,090710,0.3333333333333333,임업
2,090720,0.3333333333333333,임업
2,090810,0.3333333333333333,임업
2,090811,0.3333333333333333,임업
2,090812,0.3333333333333333,임업
2,090820,0.3333333333333333,임업
2,090821,0.3333333333333333,임업
2,090822,0.3333333333333333,임업
2,090830,0.3333333333333333,임업
2,090831,0.3333333333333333,임업
2,090832,0.3333333333333333,임업
2,090910,0.3333333333333333,임업
2,090920,0.3333333333333333,임업
2,090921,0.3333333333333333,임업
2,090922,0.3333333333333333,임업
2,090930,0.3333333333333333,임업
2,090931,0.3333333333333333,임업
2,090932,0.3333333333333333,임업
2,090940,0.3333333333333333,임업
2,090950,0.3333333333333333,임업
2,090961,0.3333333333333333,임업
2,090962,0.3333333333333333,임업
2,091010,0.3333333333333333,임업
2,091011,0.3333333333333333,임업
2,091012,0.3333333333333333,임업
2,091020,0.3333333333333333,임업
2,091030,0.3333333333333333,임업
2,091040,0.3333333333333333,임업
2,091050,0.3333333333333333,임업
2,091091,0.3333333333333333,임업
2,091099,0.3333333333333333,임업
2,100110,0.3333333333333333,임업
2,100111,0.3333333333333333,임업
2,100119,0.3333333333333333,임업
2,100190,0.3333333333333333,임업
2,100191,0.3333333333333333,임업
2,100199,0.3333333333333333,임업
2,100200,0.3333333333333333,임업
2,100210,0.3333333333333333,임업
2,100290,0.3333333333333333,임업
2,100300,0.3333333333333333,임업
2,100310,0.3333333333333333,임업
2,100390,0.3333333333333333,임업
2,100400,0.3333333333333333,임업
2,100410,0.3333333333333333,임업
2,100490,0.3333333333333333,임업
2,100510,0.3333333333333333,임업
2,100590,0.3333333333333333,임업
2,100610,0.3333333333333333,임업
2,100700,0.3333333333333333,임업
2,100710,0.3333333333333333,임업
2,100790,0.3333333333333333,임업
2,100810,0.3333333333333333,임업
2,100820,0.3333333333333333,임업
2,100821,0.3333333333333333,임업
2,100829,0.3333333333333333,임업
2,100830,0.3333333333333333,임업
2,100840,0.3333333333333333,임업
2,100850,0.3333333333333333,임업
2,100860,0.3333333333333333,임업
2,100890,0.3333333333333333,임업
2,120100,0.3333333333333333,임업
2,120110,0.3333333333333333,임업
2,120190,0.3333333333333333,임업
2,120210,0.3333333333333333,임업
2,120220,0.3333333333333333,임업
2,120230,0.3333333333333333,임업
2,120241,0.3333333333333333,임업
2,120300,0.3333333333333333,임업
2,120400,0.3333333333333333,임업
2,120500,0.3333333333333333,임업
2,120510,0.3333333333333333,임업
2,120590,0.3333333333333333,임업
2,120600,0.3333333333333333,임업
2,120710,0.3333333333333333,임업
2,120720,0.3333333333333333,임업
2,120721,0.3333333333333333,임업
2,120729,0.3333333333333333,임업
2,120730,0.3333333333333333,임업
2,120740,0.3333333333333333,임업
2,120750,0.3333333333333333,임업
2,120760,0.3333333333333333,임업
2,120770,0.3333333333333333,임업
2,120791,0.3333333333333333,임업
2,120792,0.3333333333333333,임업
2,120799,0.3333333333333333,임업
2,120910,0.3333333333333333,임업
2,120911,0.3333333333333333,임업
2,120919,0.3333333333333333,임업
2,120921,0.3333333333333333,임업
2,120922,0.3333333333333333,임업
2,120923,0.3333333333333333,임업
2,120924,0.3333333333333333,임업
2,120925,0.3333333333333333,임업
2,120926,0.3333333333333333,임업
2,120929,0.3333333333333333,임업
2,120930,0.3333333333333333,임업
2,120991,0.3333333333333333,임업
2,120999,0.3333333333333333,임업
2,121010,0.3333333333333333,임업
2,121110,0.3333333333333333,임업
2,121120,0.3333333333333333,임업
2,121130,0.3333333333333333,임업
2,121140,0.3333333333333333,임업
2,121150,0.3333333333333333,임업
2,121160,0.3333333333333333,임업
2,121190,0.3333333333333333,임업
2,130110,0.3333333333333333,임업
2,130120,0.3333333333333333,임업
2,130190,0.3333333333333333,임업
2,140110,0.3333333333333333,임업
2,140120,0.3333333333333333,임업
2,140190,0.3333333333333333,임업
2,140200,0.3333333333333333,임업
2,140210,0.3333333333333333,임업
2,140290,0.3333333333333333,임업
2,140291,0.3333333333333333,임업
2,140299,0.3333333333333333,임업
2,140300,0.3333333333333333,임업
2,140310,0.3333333333333333,임업
2,140390,0.3333333333333333,임업
2,140410,0.3333333333333333,임업
2,140420,0.3333333333333333,임업
2,140490,0.3333333333333333,임업
2,180100,0.3333333333333333,임업
2,430110,0.3333333333333333,임업
2,430120,0.3333333333333333,임업
2,430130,0.3333333333333333,임업
2,430140,0.3333333333333333,임업
2,430150,0.3333333333333333,임업
2,430160,0.3333333333333333,임업
2,430170,0.3333333333333333,임업
2,430180,0.3333333333333333,임업
2,430190,0.3333333333333333,임업
2,500100,0.3333333333333333,임업
2,500200,0.3333333333333333,임업
2,500300,0.3333333333333333,임업
2,500310,0.3333333333333333,임업
2,500390,0.3333333333333333,임업
2,510111,0.3333333333333333,임업
2,510119,0.3333333333333333,임업
2,510121,0.3333333333333333,임업
2,510129,0.3333333333333333,임업
2,510130,0.3333333333333333,임업
2,510210,0.3333333333333333,임업
2,510211,0.3333333333333333,임업
2,510219,0.3333333333333333,임업
2,510220,0.3333333333333333,임업
2,510310,0.3333333333333333,임업
2,510320,0.3333333333333333,임업
2,510330,0.3333333333333333,임업
2,510400,0.3333333333333333,임업
2,510510,0.3333333333333333,임업
2,510521,0.3333333333333333,임업
